file_name,decision_id,sent_id,sent_text,mention_start,mention_end,mention_text,is_speaker,is_target
PV1982-01-05,#DC-81-134,0,Monsieur le Président remercie Monsieur LECOURT de son rapport et déclare que la discussion générale est ouverte.,12,21,Président,True,False
PV1982-01-05,#DC-81-134,0,Monsieur le Président remercie Monsieur LECOURT de son rapport et déclare que la discussion générale est ouverte.,40,47,LECOURT,False,True
PV1982-01-05,#DC-81-134,1,"Monsieur VEDEL, après avoir souligné que la procédure de l'article 38 est de nature à réduire l'étendue du contrôle du Conseil constitutionnel qui, après l'examen de la loi d'habilitation, n'est plus susceptible de porter que sur la loi de ratification qui n'est examinée bien souvent que très tardivement par le Parlement, précise, sur le fond, qu'il redoute que l'appréciation du critère de l'âge n'autorise le Gouvernement à instaurer un système extrêmement contraignant.",9,14,VEDEL,True,False
PV1982-01-05,#DC-81-134,3,Monsieur GROS rappelle que bien souvent les retraites sont alimentées par des cotisations volontaires.,9,13,GROS,True,False
PV1982-01-05,#DC-81-134,5,Monsieur BROUILLET se déclare sensible à la première partie de l'argumentation de Monsieur VEDEL sur la diminution du champ de contrôle du Conseil constitutionnel dans le cadre de la procédure de l'article 38 de la Constitution.,9,18,BROUILLET,True,False
PV1982-01-05,#DC-81-134,5,Monsieur BROUILLET se déclare sensible à la première partie de l'argumentation de Monsieur VEDEL sur la diminution du champ de contrôle du Conseil constitutionnel dans le cadre de la procédure de l'article 38 de la Constitution.,91,96,VEDEL,False,True
PV1982-01-05,#DC-81-134,7,Monsieur SEGALAT approuve l'intervention de Monsieur BROUILLET qui est d'ordre psychologique.,9,16,SEGALAT,True,False
PV1982-01-05,#DC-81-134,7,Monsieur SEGALAT approuve l'intervention de Monsieur BROUILLET qui est d'ordre psychologique.,53,62,BROUILLET,False,True
PV1982-01-05,#DC-81-134,9,Monsieur PERETTI et Monsieur JOXE sont d'accord pour considérer que le texte de la loi est obscur et mal rédigé.,9,16,PERETTI,True,False
PV1982-01-05,#DC-81-134,9,Monsieur PERETTI et Monsieur JOXE sont d'accord pour considérer que le texte de la loi est obscur et mal rédigé.,29,33,JOXE,True,False
PV1982-01-05,#DC-81-134,10,Monsieur MONNERVILLE est du même avis.,9,20,MONNERVILLE,True,False
PV1982-01-05,#DC-81-134,13,Monsieur le President ne méconnaît pas la finesse de l'observation psychologique de Monsieur BROUILLET mais il se déclare également frappé par l'imprécision de la loi en matière de cumul.,12,21,President,True,False
PV1982-01-05,#DC-81-134,13,Monsieur le President ne méconnaît pas la finesse de l'observation psychologique de Monsieur BROUILLET mais il se déclare également frappé par l'imprécision de la loi en matière de cumul.,93,102,BROUILLET,False,True
